Paper Id,Image ID,Paper Title,Key Words,Abstract,Conclusion,Paper Type,Summarization,Topic
1,,"Multi-document Summarization via Deep Learning
Techniques: A Survey",,"Multi-document summarization (MDS) is an effective tool for information aggregation that generates an informative and concise summary from a cluster of topic-related documents. Our survey, the first of its kind,
systematically overviews the recent deep-learning-based MDS models. We propose a novel taxonomy to summarize the design strategies of neural networks and conduct a comprehensive summary of the state of the
art. We highlight the differences between various objective functions that are rarely discussed in the existing
literature. Finally, we propose several future directions pertaining to this new and exciting field.","In this article, we have presented the first comprehensive review of the most notable works to date
on deep-learning-based multi-document summarization (MDS). We propose a taxonomy for organizing and clustering existing publications and devise the network design strategies based on the
state-of-the-art methods. We also provide an overview of the existing multi-document objective
functions, evaluation metrics, and datasets and discuss some of the most pressing open problems
and promising future extensions in MDS research. We hope this survey provides readers with a
comprehensive understanding of the key aspects of MDS tasks, clarifies the most notable advances,
and sheds light on future studies",Text summarization,"This article presents a systematic overview of recent deep-learning-based models for multi-document summarization (MDS). It proposes a new taxonomy to categorize network design strategies and provides an overview of objective functions, evaluation metrics, and datasets. The article also discusses open problems and future research directions in the field. The survey aims to provide a comprehensive understanding of MDS tasks and highlight notable advances while shedding light on potential areas for further study.",Natural Language Processing
2,,"NLP based Machine Learning Approaches for Text 
Summarization",,"Due to the plethora of data available today, text 
summarization has become very essential to gain just the right 
amount of information from huge texts. We see long articles in 
news websites, blogs, customers’ review websites, and so on. This 
review paper presents various approaches to generate summary 
of huge texts. Various papers have been studied for different 
methods that have been used so far for text summarization. 
Mostly, the methods described in this paper produce Abstractive 
(ABS) or Extractive (EXT) summaries of text documents. Querybased summarization techniques are also discussed. The paper 
mostly discusses about the structured based and semantic based 
approaches for summarization of the text documents. Various 
datasets were used to test the summaries produced by these 
models, such as the CNN corpus, DUC2000, single and multiple 
text documents etc. We have studied these methods and also the 
tendencies, achievements, past work and future scope of them in 
text summarization as well as other fields","We have seen that due to abundant availability of data, text 
summarization has a very vital role in saving user’s time, as 
well as resources. Text summarization is indeed an important 
tool for today. We have seen the use of various algorithms and 
methods for this purpose. These methods, in individual and 
together give different types of summaries. Their accuracy 
score can be compared to find the better and more concise 
summaries. For this purpose, ROGUE score has been used 
more frequently. Similarly, in some cases TF_IDF scores have 
been used too. 
The summaries generated using these methods are not 
always up to the mark. Sometimes, it’s also irrelevant to the 
original document. Therefore, this topic is ongoing and people 
have done various works on this. There isn’t any specific 
model that generates best summaries. So, for future, the models 
discussed can be modified for more accurate summaries. For 
e.g., we could use GAN’s and transfer learning. For future, this 
can give a way to develop and enhance further ideas for text 
summarization. ",Natural Language Processing,"The article discusses the importance of text summarization due to the abundance of data available today. Various approaches, including abstractive and extractive methods, as well as query-based techniques, are presented. The paper focuses on structured and semantic-based approaches and discusses the datasets used for testing these methods. While the accuracy of the summaries generated using these methods can be compared, there is no specific model that generates the best summaries. The article suggests that GANs and transfer learning could be used to improve future text summarization models.",Natural Language Processing
3,,"Abstractive text summarization using LSTM-CNN based
deep learning",Text mining . Abstractive text summarization . Relation extraction . Deep learning," Abstractive Text Summarization (ATS), which is the task of constructing summary
sentences by merging facts from different source sentences and condensing them into a shorter
representation while preserving information content and overall meaning. It is very difficult
and time consuming for human beings to manually summarize large documents of text. In this
paper, we propose an LSTM-CNN based ATS framework (ATSDL) that can construct new
sentences by exploring more fine-grained fragments than sentences, namely, semantic phrases.
Different from existing abstraction based approaches, ATSDL is composed of two main stages,
the first of which extracts phrases from source sentences and the second generates text
summaries using deep learning. Experimental results on the datasets CNN and DailyMail
show that our ATSDL framework outperforms the state-of-the-art models in terms of both
semantics and syntactic structure, and achieves competitive results on manual linguistic quality
evaluation","In this paper, we develop a novel LSTM-CNN based ATSDL model that overcomes several
key problems in the field of TS. The present ETS models are concerned with syntactic
structure, while present ATS models are concerned with semantics. Our model draws on the
strengths of both of summarization models. The new ATSDL model firstly uses phrase
extraction method called MOSP to extract key phrases from the original text, and then learns
the collocation of phrases. After training, the model will generate a phrase sequence that meets
the requirement of syntactic structure. In addition, we use phrase location information to solve
the rare words problem that almost all ATS models would encounter. Finally, we conduct
extensive experiments on two different datasets and the result shows that our model outperforms the state-of-the-art approaches in terms of both semantics and syntactic structure.",Text summarization,The article presents a new framework for abstractive text summarization (ATS) called the LSTM-CNN based ATSDL model. This model uses a phrase extraction method called MOSP to extract key phrases from the original text and learns the collocation of phrases to generate a phrase sequence that meets the requirement of syntactic structure. The model also uses phrase location information to solve the rare words problem. Experimental results show that the ATSDL model outperforms existing state-of-the-art approaches in terms of both semantics and syntactic structure on two different datasets.,Natural Language Processing
4,,"DEXPERTS: Decoding-Time Controlled Text Generation
with Experts and Anti-Experts",,"Despite recent advances in natural language
generation, it remains challenging to control
attributes of generated text. We propose DEXPERTS: Decoding-time Experts, a decodingtime method for controlled text generation
that combines a pretrained language model
with “expert” LMs and/or “anti-expert” LMs
in a product of experts. Intuitively, under
the ensemble, tokens only get high probability if they are considered likely by the experts and unlikely by the anti-experts. We apply DEXPERTS to language detoxification and
sentiment-controlled generation, where we
outperform existing controllable generation
methods on both automatic and human evaluations. Moreover, because DEXPERTS operates
only on the output of the pretrained LM, it is
effective with (anti-)experts of smaller size, including when operating on GPT-3. Our work
highlights the promise of tuning small LMs on
text with (un)desirable attributes for efficient
decoding-time steering","We present DEXPERTS, a method for controlled
text generation that reweights the predictions of
language models based on expert (and anti-expert)
opinions. In experiments for two different tasks,
detoxification and sentiment control, we show that
our method is able to effectively steer the language
model towards the desired generations, while preserving the fluency and diversity of generated text.
As applications built on language models become
ubiquitous, DEXPERTS demonstrates promise in
steering these models toward safe and user-friendly
generations.",Text generation,"The paper proposes a method called DEXPERTS for controlled text generation by combining a pretrained language model with expert and anti-expert language models in a product of experts. The approach is applied to language detoxification and sentiment-controlled generation and outperforms existing controllable generation methods. The method is effective with small expert and anti-expert language models, and highlights the promise of tuning language models for efficient decoding-time steering towards safe and user-friendly generations.",Natural Language Processing
5,,A Survey of Knowledge-enhanced Text Generation,,"The goal of text-to-text generation is to make machines express like a human in many applications such as
conversation, summarization, and translation. It is one of the most important yet challenging tasks in natural
language processing (NLP). Various neural encoder-decoder models have been proposed to achieve the goal
by learning to map input text to output text. However, the input text alone often provides limited knowledge
to generate the desired output, so the performance of text generation is still far from satisfaction in many
real-world scenarios. To address this issue, researchers have considered incorporating (i) internal knowledge
embedded in the input text and (ii) external knowledge from outside sources such as knowledge base and
knowledge graph into the text generation system. This research topic is known as knowledge-enhanced text
generation. In this survey, we present a comprehensive review of the research on this topic over the past five
years. The main content includes two parts: (i) general methods and architectures for integrating knowledge
into text generation; (ii) specific techniques and applications according to different forms of knowledge data.
This survey can have broad audiences, researchers and practitioners, in academia and industry.","In this survey, we present a comprehensive review of current representative research efforts and
trends on knowledge-enhanced text generation and expect it can facilitate future research. To summarize, this survey aims to answer two questions that commonly appear in knowledge-enhanced
text generation: how to acquire knowledge and how to incorporate knowledge to facilitate text generation. Based on knowledge acquisition, the main content of our survey is divided into three sections
according to different sources of knowledge enhancement. Based on knowledge incorporation, we
first present general methods of incorporating knowledge into text generation and further discuss
a number of specific ideas and technical solutions that incorporate the knowledge to enhance the
text generation systems in each section. Besides, we review a variety of text generation applications in each section to help practitioners learn to choose and employ the methods.",Text generation,"The paper discusses the challenges in text-to-text generation and how incorporating internal and external knowledge can improve performance. The authors present a comprehensive survey of the research on knowledge-enhanced text generation in the past five years, covering general methods and specific techniques according to different forms of knowledge data. The survey aims to facilitate future research and help practitioners choose and employ methods for various text generation applications.",Natural Language Processing
6,,"Automatic Text Summarization of COVID-19 Medical
Research Articles using BERT and GPT-2",,"With the COVID-19 pandemic, there is a growing urgency for medical community
to keep up with the accelerating growth in the new coronavirus-related literature.
As a result, the COVID-19 Open Research Dataset Challenge has released a corpus
of scholarly articles and is calling for machine learning approaches to help bridging
the gap between the researchers and the rapidly growing publications. Here, we
take advantage of the recent advances in pre-trained NLP models, BERT and
OpenAI GPT-2, to solve this challenge by performing text summarization on this
dataset. We evaluate the results using ROUGE scores and visual inspection. Our
model provides abstractive and comprehensive information based on keywords
extracted from the original articles. Our work can help the the medical community,
by providing succinct summaries of articles for which the abstract are not already
available.
","Abstractive summarization still represents a standing challenge for deep-learning NLP. Even more
so when this task is applied to a domain-specific corpus that are different from the pre-training, are
highly technical, or contains low amount of training materials. COVID-19 Open Research Dataset
Challenge exemplify all the abovementioned difficulty. Nevertheless We have here illustrated that
the text-to-text, multi-loss training strategy could be used to fine-tune a pre-trained language model
such as GPT-2 to perform abstractive summarization. The result is interpretable and reasonable, even
though it is not near human-level performance.
First of all, We think that our model could benefit from further training as the new coronavirus-related
research publication are becoming available. This should make the model more accurate in its ability
to infer conclusion from the keywords.",Natural Language Processing,"We used BERT and OpenAI GPT-2 pre-trained NLP models to perform text summarization on the COVID-19 Open Research Dataset Challenge corpus. Our model provides comprehensive information based on extracted keywords and can help the medical community by providing succinct summaries of articles for which abstracts are not available. Abstractive summarization is a challenging task, especially for technical, domain-specific corpora with limited training materials. However, we showed that a multi-loss training strategy could fine-tune a pre-trained language model such as GPT-2 to perform abstractive summarization, though still not at human-level performance. Further training could improve the model's accuracy with new publications becoming available.",Natural Language Processing
7,,A DATA MINING APPROACH FOR PREDICTION OF HEART DISEASE USING NEURAL NETWORKS,"Backpropagation, Data mining, Heart disease, Multilayer perceptron neural network, Neural Network.","Heart disease diagnosis is a complex task which requires much experience and knowledge. Traditional way of predicting Heart disease is doctor’s examination or number of medical tests such as ECG, Stress Test, and Heart MRI etc. Nowadays, Health care industry contains huge amount of heath care data, which contains hidden information. This hidden information is useful for making effective decisions. Computer based information along with advanced Data mining techniques are used for appropriate results. Neural network is widely used tool for predicting Heart disease diagnosis. In this research paper, a Heart Disease Prediction system (HDPS) is developed using Neural network. The HDPS system predicts the likelihood of patient getting a Heart disease. For prediction, the system uses sex, blood pressure, cholesterol like 13 medical parameters. Here two more parameters are added i.e. obesity and smoking for better accuracy. From the results, it has been seen that neural network predict heart disease with nearly 100% accuracy.","In this research paper, we have presented Heart disease prediction system (HDPS) using data mining and artificial neural network (ANN) techniques. From the ANN, a multilayer perceptron neural network along with back propagation algorithm is used to develop the system. Because MLPNN model proves the better results and helps the domain experts and even person related with the field to plan for a better diagnose and provide the patient with early diagnosis results as it performs realistically well even without retraining. The experimental result shows that using neural networks the system predicts Heart disease with nearly 100% accuracy.",Artificial Neural Network,"This research paper presents a Heart Disease Prediction System (HDPS) that uses data mining and artificial neural network techniques to predict the likelihood of a patient getting a heart disease. The system uses thirteen medical parameters including blood pressure and cholesterol, and two additional parameters, obesity and smoking, for better accuracy. The multilayer perceptron neural network model along with the back propagation algorithm is used for system development. The experimental results show that the system predicts heart disease with nearly 100% accuracy. This system can be a valuable tool for domain experts and healthcare providers to plan for better diagnoses and provide patients with early diagnosis results.",Deep Learning and Machine Learning
8,,"SOCIAL MEDIA  SENTIMENT 
ANALYSIS BASED ON COVID 19","NLP,RNN,
sentiment 
analysis,
social media,
visualization","In today's world, the social media is everywhere, and everybody come in contact with it every day. With social media datas, we are able to do a lot of analysis and statistics nowdays. Within this scope of article, we conclude and analyse the sentiments and manifestations (comments, hastags, posts, tweets) of the users of the Twitter social media platform, based on the main trends (by keyword, which is mostly the ‘covid’ and coronavirus theme in this article) with Natural Language Processing and with Sentiment Classification using Recurrent Neural Network. Where we analyse, compile, visualize statistics, and summarize for further processing. The trained model works much more accurately, with a smaller margin of error, in determining emotional polarity in today's ‘modern’ often with ambiguous tweets. Especially with RNN. We use this fresh scraped data collections (by the keyword's theme) with our RNN model what we have created and trained to determine what emotional manifestations occurred on a given topic in a given time interval.","In this work, we use a Recurrent Neural Network (RNN) to classify emotions on tweets. We developed a model to analyse the emotional nature of various tweets, using the recurrent neural network for emotional prediction, searching for connections between words, and marking them with positive or negative emotions. Where instead of simple positive and negative extremes, we have classified the various texts into a much more articulated class of emotional strength (weakly positive/negative, strongly positive/negative). This has been combined with a keyword-based special data scraper, so we can apply our taught RNN model with these specific freshly scraped datasets. As a result, we get an emotional classification related to specific topics. What kind of tweets they were and what emotional class they belong to, what is the distribution on that topic at the emotional level within the given start interval. In the article, we focused most on the coronavirus and related emotional changes and fluctuations, and it was shown that the overall positive manifestation and presence on the social platform remained on social media surfaces during this pandemic. Of course, in addition to negative and other manifestations. Over time, positivity has strengthened, but there is also a stronger negative array that is natural. According to our expectations this topic remain positive manifestations, sometimes with a higher and sometimes with a smaller percentage. It can be seen that the recurrent neural network provides good performance and prediction in text classification. Where the RNN model brought a smaller amount of data in neutral result or completely reduced to zero that. Which proves that our model is ‘able to make’ a decision and categorize in some direction even on the basis of small details. Our comparisons were made mainly against TextBlob, which also worked very well and delivered stable results, but there were many times when the neutral results were above 30% compared to our RNN model, which we cannot use as usefully for further evaluations as for our RNN model. The classification of emotions for both models (TextBlob, RNN) was properly segmented.",Natural Language Processing,"The article discusses the use of natural language processing and sentiment classification using recurrent neural network to analyze sentiments and manifestations of Twitter users on the topic of COVID-19. The RNN model was able to accurately classify emotional polarity in ambiguous tweets and classify emotions into more articulated classes of emotional strength. The analysis showed that despite negative manifestations, overall positivity remained on social media during the pandemic. Comparisons were made against TextBlob, but the RNN model showed better results with less neutral results. The RNN model proved to be effective in categorizing emotions and making decisions even with small details.",Natural Language Processing
9,,Explaining Recurrent Neural Network Predictions in Sentiment Analysis,,"Recently, a technique called Layer-wise Relevance Propagation (LRP) was shown to deliver insightful explanations in the form of input space relevances for understanding feed-forward neural network classification decisions. In the present work, we extend the usage of LRP to recurrent neural networks. We propose a specific propagation rule applicable to multiplicative connections as they arise in recurrent network architectures such as LSTMs and GRUs. We apply our technique to a word-based bi-directional LSTM model on a five-class sentiment prediction task, and evaluate the resulting LRP relevances both qualitatively and quantitatively, obtaining better results than a gradient-based related method which was used in previous work","onclusion In this work we have introduced a simple yet effective strategy for extending the LRP procedure to recurrent architectures, such as LSTMs, by proposing a rule to backpropagate the relevance through multiplicative interactions. We applied the extended LRP version to a bi-directional LSTM model for the sentiment prediction of sentences, demonstrating that the resulting word relevances trustworthy reveal words supporting the classifier’s decision for or against a specific class, and perform better than those obtained by a gradient-based decomposition. Our technique helps understanding and verifying the correct behavior of recurrent classifiers, and can detect important patterns in text datasets. Compared to other non-gradient based explanation methods, which rely e.g. on random sampling or on iterative representation occlusion, our technique is deterministic, and can be computed in one pass through the network. Moreover, our method is self-contained, in that it does not require to train an external classifier to deliver the explanations, these are obtained directly via the original classifier. Future work would include applying the proposed technique to other recurrent architectures such as character-level models or GRUs, as well as to extractive summarization. Besides, our method is not restricted to the NLP domain, and might also be useful to other applications relying on recurrent architectures. Ack",Artificial Neural Network,"The article discusses the extension of the Layer-wise Relevance Propagation (LRP) technique to recurrent neural networks, specifically those with multiplicative connections like LSTMs and GRUs. The extended LRP version was applied to a bi-directional LSTM model for sentiment prediction in sentences and produced better results than a gradient-based method. The technique is deterministic and self-contained, and can detect important patterns in text datasets. Future work includes applying the technique to other recurrent architectures and non-NLP applications.",Deep Learning and Machine Learning
,,,,,,,,
